clip	ending0	ending1	ending2	ending3	ending4	label
video9844	a large crowd is cheering while a band performs	a cook is giving instructions for how to make meat with pasta sauce	several cartoons are dancing	i hope you really enjoyed this video and first of all i like to thank the person who sent me this video and i am very pleased with it	i do not wish that you really enjoyed this video and first of all i like to thank the person who sent me this video and i am very pleased with it	3
video9845	lady with stripped top speaking how she discovered brackley soup	a couple of guys in lab coats prepare to use a massive microscope	a man is blowing in a horn women are talking about purses and bags	a couple of guys in lab coats fight each other.	some chinese girls on the beach side with pink dress and other colour traditional dress while a person lift a flag	1
video8531	a clip showing young children reviewing a food dish	a young blonde woman talks about lyrics in a song	a clip showing young children throwing a food dish	a blue and a white soccer team have a close match	memory sequence of a pig in the mine craft game	0
video9785	a person in blue color dress wearing cloth sitting speaking with other boy on topic discusing displaying on screen	a man is sleeping on the beach while two other people are walking	a kid playing with a little girls purse	soccer players play on the pitch	a man is sleeping on the beach while two other people are running	4
video8533	fanfare on an indoor soccer field is being shown	a woman is singing while staring at a man	a woman is crying while staring at a man	a little girl plays with a small play set	a beautiful video presentation of chef jon favreau	1
video9849	a fire is extinguished	animated bird is flying through various landscapes	a group of people are racing horses on a sunny day	a fire is burning	some cops stand together with car	3
video8535	a man on a motorcycle drives under a ramp and off the roof of a building	a person is making a craft	an animal in a video game knocks over the food at a picnic	guy speaking about movie	a man on a motorcycle jumps over a ramp and off the roof of a building	4
video8534	a family sit n the chairs and another girl is coming out of the closed room with her parents	a man talks while in the rain	reporters discuss a freedom of speech issue	man telling you to subscribe to his channel	a man sings while in the rain	1
video8537	man discussing a wrestler as the wrestling match starts	man cussing a wrestler as the wrestling match starts	small girl is in her room and putting her make up	a man is discussing the first manned space flight	a movie scene boy speaking girl speaking many persons beside displaying on screen	0
video8536	rabbits are running around	a video of people playing minecraft	two men are talking about the top 5 will smith movies	people are cooking and eating	rabbits are laying around sleeping	0
video8711	a kid is eating a peice of spicy fried food	man berating an element of energy	a woman presents a brief introduction to the course about gardening methods for crops that can be grown in small spaces	man discussing an element of energy	an ad for a movie is playing	3
video8710	music plays over a basketball highlight	a man is showing some recipe in the kitchen	guy is talking about the car's wheels	guy is talking about the car features	a very tired looking man crawls into bed and a baby rolls over to snuggle with the man which surprises the man	3
video8713	a man seated in a chair discusses mental health disorders	a lady carrying two plates of food into another room	a man is posing with two other men	on the heels of a successful performance a middle aged actress becomes trapped in her trailer when it catches on fire	a man is fighting with two other men	2
video8715	video of guys playing basketball then guy riding bike then kid falls over with basketball	video of guys playing basketball then guy repairing bike then kid falls over with basketball	the old man is very busy with the interview in the media people	man is surfing on the beach and there is sound of applausing	people are on the beach	0
video8714	bill burr giving a tour of the santa monica pier in the daytime	man in black suit is talking about the characters	a father and daughter dance together	a group of girls singing	bill burr watching a tour of the santa monica pier in the daytime	0
video7999	in a open market a person explains about deep fried hot dog	the disney palace is seen with fireworks behind it as it sits in a land with a river	squidward from the television show spongebob squarepants making a phone call	a woman shows how to cook on a t	in a open market a person eats a deep fried hot dog	0
video8719	a guy plays video games online and talks about birds and tokens	man making music and singing in his car	countless birds fly together over the snowy field	there is a video game with a dalmatian dog sitting underneath a green gem	a guy plays video games online and sings about birds and tokens	0
video7994	some people are standing around	a reviewer in black sunglasses and a black leather jacket explains the latest terminator movie	a teacher with students	some people are sitting around	sexy blonde doing a cook show and providing her subscription link	0
video7331	tennis players playing in slow motion and voice over talks about the match	a man is playing a video game while listening to music	it is the movie clip	a man is playing a video game while talking	four animated space aliens are circling in the sky	3
video7992	the music is marvelous with the background of a recording studio	a person is playing a video game	a man eating a sandwhich	a man throwing out a sandwhich	a man is applying glue to a pipe and pasting it in the car	2
video7993	a car dealer signs a 1997 acura	a person adds broth to a pot and mixes it together	a lady is giving a review on makeup	a person is explaining something	a car dealer reviews a 1997 acura	4
video7990	a man juggles a hamster with his fingers as the hamster plays dead he repeats with a dog	a man pretends to shoot a hamster with his fingers as the hamster plays dead he repeats with a dog	a colorful desert landscape has yellow thermal rock formations	a person kisses his mother and walks away	man playing video game finds pile of blood that his child thinks is jello	1
video7335	kids running and playing	a group of people are cosplaying	a man puts his phone down to be charged	a girl is talking about product lip balm	kids throwing and playing	0
video9551	man and woman are having conversation in the living room	a man is learning about some features on the inside of his car from another man	a man describes some features on the inside of his car	a female giving a nail art tutorial	its a note pad art painting	2
video8997	a group of girls are talking about colors	a man is sitting in a sports car discussing the specifications about the car	a group of girls are arguing about colors	a series of videos of people laughing	man being spoken to by girl	0
video7055	two astronauts are done with a procedure in a spaceship	it appears to be a power point slide describing three key benefits of some kind of material	two astronauts are attempting a procedure in a spaceship	a girl with painted nails talking with sunglasses on	a girl singing song on stage	2
video8035	many person standing together and praying and elecopter moving in air displaying on screen	the motorcyclist drives on the road	there a four members with pink and blue dressing were playing shuttlecock	a girl is talking about a baby stroller	the motorcyclist parks on the road	1
video8036	a video about a movie or tv show	guy tying a know	a women is talking about kim k and nicholas cages son	a band is laughing	a band is singing	4
video8405	a woman learns instructions on how to cook a recipe	a woman gives instructions on how to cook a recipe	a person is making a watermelon drink	game play footage of grand theft auto	a man talks about a car in spanish	1
video8404	a man and woman in a romantic pose	someone is mixing dough	a person is making a dish	someone is blending a smoothie	scene from a tv show where couples are arguing and make up later	1
video8406	a hybrid bull human character running behind a bird that breathes fire in world of warcraft	someone is bouncing a ball	a hybrid bull human character standing behind a bird that breathes fire in world of warcraft	a man on a horse is moving back and forth	a woman is stirring a recipe	2
video8401	two women are fighting	someone singing on stage	images of puppies and kittens appear on screen as music plays	someone dancing on stage	a baby on the floor making noises with someone trying to get the baby to say mama and dada	1
video8403	girls reviewing a disney movie	a man is preparing	a man is sleeping	gameplay footage of shooter	a boy is dancing	1
video8402	a person playing a video game and commentating	ricky martin standing with other singers	a person cleaning in the kitchen	a man is performing on his guitar	a man is tuning his guitar	3
video8030	woman is silently spectacting	woman is commentating	a man runs away from a cop trying to arrest him	a scene from a television sitcom is shown	a person is decorating cake	1
video8409	boys playing in the varanda	a family is having coversation	a band is writing a song in a studio	a band is performing a song	a man talking about a group of students	3
video8408	how to color using an eye dropper and liquid	a score is made in a basketball game	a man giving an interview	a calico cat swats at boxers fighting a round and seems to be winning	how to mix using an eye dropper and liquid	0
video8159	a cartoon girl watches interesting characters	someone is solving a rubic cube	a person discussing about a machine	a woman is placing paint into a glass and making a design	a cartoon girl ignores interesting characters	0
video8158	a national geographic spot about a man who grew up in the wild	a foot ball player handing a football to a fan and a boy is scared on the roller coaster	indiana jones wearing his famous hat with words appearing on the screen	woman in white dress is decorating the food in a plate	a foot ball player throwing a football toward a fan and a boy is scared on the roller coaster	1
video7426	some cartoon characters are laughing	some cartoon characters are talking	two cats looking and walking down stairs from an attic	a man is doing various things set to a foreign language	an african man braids a small part of a young girls hair	1
video9667	a rugby game is progressing	butch of people walking in their university room and making better future for their countries	a man talking about car	a rugby game just ends	someone is showing off their new computer parts	0
video7424	an older woman fights with something evil to get her loved one back	the boy throws spinning back kicks	a woman is showing how to cook	a man is sleeping at a bus station	a man is talking at a bus station	4
video7422	an educated looking man sits in front of a window and talks to the cameral	in the cartoon adventure time the characters are worms	a person is cooking	an animation of characters running around	a person is eating	2
video9663	a man commentates on women s fighting	a woman coats chicken breast in olive oil and salt and pepper	a man yells at women fighting	a newspaper article is shown with music playing in the background	person folding a piece of paper	0
video7420	a woman is preparing a dish in glassy bowl	a picture of a lake and natural scene are displaying	a girl is frowning	a girl is smiling	a man explaining about something on the stage	3
video7421	a documentary about a culture lifestyle	a man is telling about a machine	a small child sings for judges on a show	a small child dances for judges on a show	several men are working outdoors	2
video8745	a sport persons are participating in different sports	news about army taking over the city after the shootout	a skeleton is dancing in a music video	a skeleton is sitting in a chair in a music video	a blonde reporter in a store	2
video9668	a man is posing with two other men	jockeys ride their horses slowly off a grass track at the finish of a race	a bunch of cars are parked	morgan freeman and brad pitt are playing characters in a movie together	a bunch of cars are driving around	4
video7429	a young lady shows her guinea pigs which are wrapped in towels on the floor	a clip of basketball dunk	a girl is talking about large earrings	a person is cutting the green leaves for cooking	a girl is unamused about large earrings	2
video7991	a woman is giving autographs to her fans	soldiers in war are talking	a movie clip from an olden day movie with east men color	a movie clip from an olden day shows a movie with men talking	a fashion show in progress showing female models walking down on the ramp showcasing various dresses	2
video7925	a man demonstrates how to make a pie crust	compilation of fail clips	girl in blue dress talking over the mic	football players in a video game being tackled	a man learns how to make a pie crust	0
video7924	animated characters speaking in a classroom	a heavy rock band in black clothing sing and play guitars and drums	a man stirs a pasty food substance in a pot	a man whips a pasty food substance in a pot	people seems to be busy in their own work	2
video7928	a man measures the width of his door opening	man speaking on his new computer rig	a girl wearing red top and black trouser is putting a sweater on a dog	a man weighs the width of his door opening	a man talks about cars	0
video7923	its a keds entire shopping advertisement	a youth singing and playing his guitar in a living room	water is bubbling in a creek with lots of large rocks	a man is fishing with a net from his boat	water is flowing downstream in a creek with lots of large rocks	4
video7922	a group of llamas is slowly walking closer and closer	a man is looking at a brain	a band is playing a concert for an audience	a group of llamas is slowly running closer and closer	a person is folding a ruled paper	0
video9789	two men are talking on a news program	the woman runner is falling many times and again running in the women s athletics race	the people are looking very exhausted but jump on the floor continuously	the people are looking very exhausted and staying on the floor	a man is hitting the ball in a baseball game	3
video9590	a woman with something on her face	a kids show that shows them activities including yoga and football	a kids show that shows them activities without yoga and football	photo montage of a man is playing	a person folds a white piece of paper into a plane shape	1
video9591	a man is in bed	a band is performing a concert	many person standing together and praying and elecopter moving in air displaying on screen	ladies walking down a hallway with their arms around each other	a band is sleeping through a concert	1
video9592	a man opening a toy egg set	a man is standing	a game of hurdles is going on and people are cheering	a game of hurdles is going on and people are whispering	the anchor is talking all the time and the other participants are listening carefully	2
video9593	man dancing and a stadium spinning	a dog is talking	man talking and a stadium spinning	terraria gameplay footage with commentary	girl taken out in a fast sports car	2
video9594	a basketball game being played on a court	a woman yelling verbal instructions on tanning while another woman demonstrates it	a vector type of image is shown alternating with song lyrics	a woman giving verbal instructions on tanning while another woman demonstrates it	a woman puts on black gloves with white spots on them	3
video9595	a horse race on nbc	a man wearing a white shirt crying on stage to a group of people	a man is rubbing his fingers together to produce smoke and then making a battery rotate to create a tiny motor	a man wearing a white shirt speaking on stage to a group of people	a man is talking about how his interest in science fiction helped to create a popular movie	3
video9596	a fat bald man is sitting down inside of a room	a man is complaining about politics	a man is speaking about a politics	gameplay footage of someone playing a game	two people playing tennis at a tennis competition	2
video9598	a man animating a puppet and showing how to roll churros in cinnamon and sugar	a singing performance in a reality show	various people do amazing flips as they shuffle around	a young beautiful women dancing in her room	various people do amazing flips as they jump around	4
video9599	a bowler watches a bowling ball which hits a spare	a bowler throws a bowling ball and hits a spare	demo on how to use a program on the computer	batting is the act of facing the opposing pitcher and trying to produce offense for one s team	gameplay footage of grand theft auto	1
video7044	people work in a busy and loud butcher shop	a black women is being quiet about how she was raped	a few muslim women follow each other in various presentations in which instructors are teaching	a black women is telling how she was raped and reporting to the newsreporter	man working on his car	3
video7513	a group of boys and girls are dancing	a band performing in front of a large audience	a man is talking about satan	a man is singing along with the vocalist on the screen	a woman is interviewing someone who has won a competition	2
video7046	a dragon releasing fire in cartoon	fire is put out and its dark	some people are dancing	fire is burning and its dark	a man wearing gray meets a woman wearing pink	3
video7511	guy talking to camera	information is given on a serious illness	a person is pouring soda in a pot	man talks about kidney failure	a person is drinking soda from a pot	2
video7040	wayne s world characters talking to another man	a man and woman ignoring politics	some persons are giving their review	a man is acting in a trailer of a parody of a scary movie	a man and woman talking politics	4
video7041	a short clip showing adolescents drawing on a dance floor	a father and his son dancing in the kitchen	a short clip showing adolescents dancing on a dance floor	a lesson in english using stick figure cartoons	a band is singing on a stage at a show	2
video7042	a family guy cartoon of peter pushing his car in the lake	a girl singing in some talent show	two women are fighting in a bedroom	two woman are hugging in a bedroom	a woman with brown hair interviews a guest about economic issues	3
video7043	the person talks that in hollywood everyone is having some kind of problem	a blue car is crashing on the road	a blue car is driving on the road	a lady walking on the stage	a chef stands behind domed silver platters arranged in round circles on top of circular tables across from a dozen people standing in front of a wide kitchen area	2
video7031	a child jumping off a pier and walking up stairs	a man is talking to another man	a man is talking about the show spongebob squarepants	a family sitting down and playing with each other	a family running around and playing with each other	4
video7051	two basketball teams play on the court while music plays over them	a man is twerking	people are milling about at an outdoor wedding dressed in fancy outfits	pop mar papa the great is blessing the people from his bullet proof vehicle	a man is talking	4
video7049	batman and bane talking to one another	girl cooking and baking	a man is eating a food dish	a man is preparing a food dish	a low quality disney film appears on screen possibly cinderella spoken in a differnt language other than english	3
video9766	a man is singing	a man feared by a girl s peculiar action	singers performing in the stage	a man is talking	a woman talking about relationships	3
video8064	few girls in red dress and boys in white dress sleeping together	few girls in red dress and boys in white dress dancing together	motorcycles speeding down a highway the motorcycle in the middle has a person standing on the back in a red shirt	different paints and the different paint cans	cute little girl runs towards boy coming in cycle she wear pink shirt	1
video7033	a man fails at self defense moves in a parking lot	a man demonstrates self defense moves in a parking lot	some peeple are watching tv	a pedestrian crossing the street while on a cell phone and running into a truck	the video game skylanders is being reviewed by a man	1
video7032	a bbc reporter is standing in johannesburg and reports about world news	a man is putting his tools in the toolbox	a person is driving a car on an empty road	a man is teaching how to use tools	an exploration of something about the machine cutting the pipe	3
video7196	a woman talks about her vlog	some people are shooting outside	there are a bunch of people in a circle and one lady is jumping and the others have their heads down	there are a bunch of people in a circle and one lady is singing and the others have their heads down	a truck is hitting a car on traffic signal	3
video7197	plot from the movie	man with cheetah showing another man	clipping from the movie	a male character in a football video game runs around the field and does ball tricks	a man and a small child are playing a game on a table	2
video7194	a little fake orange octopus laughing in water	at first you see 4 types of phones on the screen then you see a gentleman in a plaid shirt sitting in front of a computer and window	a little fake orange octopus dancing in water	animated cartoon singing to babies	woman is sitting on the sofa	2
video7195	showing different pets on palace pets	a children s television show is being shown in a theater	a girl in red dress standing near the car and a girl with black dress and hand bag posing other girl posing near the wall	a girl in red dress standing near the car and a girl with black dress and hand bag seeing the other girl sitting near the wall	some people are playing tennis outside on a court	2
video7192	a man sings about the design of a wooden ship	a clip of a video game outside	a man describes the design of a wooden ship	a woman is cooking food	some guys on a space station are doing something	2
video7193	a man is in a kayak	a man is talking about the touch pad of a laptop	a couple men dressed up in a city	a man is filming the touch pad of a laptop	a woman is working with hair	1
video7190	a man picks a dog laying on the side of the road	a soccer player is awarded with a trophy	table tennis game is going to start and the player are running in the court	some people are watching a man playing a video game	table tennis game is going to start and the player are walking in the court	4
video7191	squidward is about to use the telephone	guys play minecraft and talk about it	a pretty young woman gives makeup and selfie taking advice to viewers	a bald man wears sunglasses and plans to watch a trick	a bald man wears sunglasses and plans to teach a trick	4
video8040	a man defines pigments and how they give color to living things by absorbing light	a child is demonstrating the word walking by walking towards a tree in a park	the man is talking with different cloths are placed behind him in the store	a man is talking	a man talks about snakes	0
video7428	judges are clapping for a performer on a television show	there are a bunch of people in a circle and one lady is singing and the others have their heads down	a girl carries and drops an egg on a spoon outside	a man is commentating while playing minecraft	a girl smashes an egg using a spoon outside	2
video7198	a man pulls up some foam	a man pushes down on some foam	guy talking about gold tees	a chef domonstrates and describes how to cook live crabs	a young girl flushes sever gold fish down the toilet	1
video7038	in a kitchenthere is women throwing away some fried dishes	a band playing a jazz tune	in a kitchenthere is women preparing some fried dishes	a man long jumps into a sand pit then does it on a track	a chef talks about a pot roast recipe he has prepared	2
video9288	a woman in a fancy white dress is showing how she fixes her hair	black women in very high heels are modeling and walking the runway	a person talking to the audience about a story	black women in very high heels are running and walking the runway	couple of guys driving the car and enjoying the ride	1
video9289	people in costume dancing	there is a cat walk with two women one is dressing in red and the other is in brown	there are cats walking with two women one is dressing in red and the other is in brown	a woman is standing	cartoon of a bunch of animals at a party	1
video9284	it is showing pictures of palace pets	the smaer phone introduction how to use and connect to wi fi	a person is recording different angles of their car	a person is washing different angles of their car	a video tour of the audi a8	2
video9285	a guy wearing a green shirt and shorts talks outside	a country singer screams at a white horse	a girl is talking to another girl angrily	a country singer serenades a white horse	woman describing her pets in a life simulating video game	3
video9286	a lady with long dark hair wearing a white dress and bending over	a man hold a doll and lots of giant pythons	a guy is talking with computer moniters shown behind him	a woman describing the trailer for the hunger games film	a man looks at a doll and lots of giant pythons	1
video9287	spanish narration to video footage of a car interior	there is someone traveling in a aircraft	a girl ordering meatloaf with hot sauce	a girl eating meatloaf with hot sauce	a person in glasses a tan sports coat and tshirt explains the central nervous system	2
video9281	two men are talking while sitting in a stadium	he drew a beautiful picture	a large computer screen with blue and purple squiggly lines are shown as someone unseen describes what software created the lines	a girl dancing to spanish music	a large computer screen with blue and purple squiggly lines are shown as someone unseen critiques what software created the lines	2
video9282	different angry men fight and stare at the camera	a man takes pictures	a young girl is singing on a television show while her family hides backstage and a group of judges listens from chairs	a young girl is singing on a television show while her family watches from backstage and a group of judges listens from chairs	cartoon children ponder where a white rabbit went	3
video9283	man reading books and also e books in tablet	a child interviews a man and then teaches him some dance moves	a child yells at a man for not teaching him some dance moves	a young trio is writing the introduction to a music video	a lady talks on a tv show called total view	1
video7609	group of persons are enjoying together	a lady is giving news on marvel and showing previews of a movie	group of persons are fighting together	an arabic woman sits at a table with a man	this is a video instructing on making paper patterns	0
video9446	there is a man is driving a car in to the town	a baseball game to see if dennis eckersley will allow a home run	people playing indoor soccer	street food found in india	there is a man is repairing a car in to the town	0
video9447	a man is teaching how to tie knots	an indian woman dressed in orange speaking with another indian woman	a little girl goes into a funhouse at a carnival down some shallow stairs	a little girl goes into a funhouse at a carnival up some moving stairs	scene from a reality tv show	3
video7604	a kid plays basketball with the buzz lightyear chracter in a video game	there are two people wrestling	there are two people dancing	a man talking while various people are on electronics	a guy talks about the good things about electric cars	1
video7605	an animated boy is shivering	a add promoting google play	showing a car driving	a lawyer promoting google play	people are playing football	1
video9442	a professional hockey game featuring pop music in the background	a professional hockey game without pop music in the background	in a restaurant kitchen various foods are being prepared	these are images of beach houses and some regular houses	animated characters sing and dance	0
video9443	someone is displaying an engine casing	a man crying about some art pieces	black haired woman is showing some photos on the web cam	a man talking about some art pieces	a person is explaining how to fix something	3
video9440	two women stand in the center of a street	a children s song plays to animation	two teams of two playing tennis one team whearing white the other in blue	words moving up the screen with a backgroud picture of the earth	a children's song plays to a group of people performing a play	1
video7601	some men in a very feminine bedroom sitting on the bed and smoking	spiderman is holding a woman to see if she is still alive	some men in a very feminine bedroom jumping on the bed and smoking	the introduction video for a tv show is played	a street vendor is cooking naan	0
video9466	a couple is singing and dancing	a mash of sports clips including a basketball clip of someone diving into the crowd	a person hiding behind some blocks in minecraft	a man discusses computer animation	a couple is singing and sleeping	0
video7408	a person with blue short doing exercise by putting both hands down and legs up	a person with blue short doing exercise by lifting both hands up and legs up	a man is clapping and a woman is looking at that	the video makes an eye catching pink presentation of the phrase professional video advertisment	some white text is on a red and pink background	0
video9649	a man rides a horse in place while a crowd watches	a man is talking about cameras	a man catches a horse in place while a crowd watches	kids eating food for the first time	an octopus moving through the water in fast motion	0
video9644	a band plays a song in a room	creepy music plays while a camera takes pictures	a man is cutting open a fish while a person is explaining the parts of the fish	a mans girlfriend sings about a strange sensory experience	a man s girlfriend describes a strange sensory experience	4
video7405	video showing people holding candles outdoors at night	girls dancing on the show	a man is squirting lotion on a girl in the beach	a man is rubbing lotion on a girl in the beach	women are walking down the runway	3
video9646	walkthrough of a video game	a man is making pizza	a babysitter caring for a boy and playing games with him outside	a star interacts with a boy prince	a babysitter watching a boy and playing games with him outside	2
video8881	a woman is adjusting the stroller	man talking about breaking shaq s record	three men are sitting at a desk in front of a laptop	man breaking shaq's record	pretty brunette woman shows off her new white dress	1
video8880	a woman is laughing	several disney movie scenes are compiled and accompanied by music	a man climbs down a ladder	a cartoon man and baby are laughing while driving in a car	a man is falling down from a ladder	2
video8883	a man is talking to a policeman and another man	men repair fishing nets	a woman eats a white chocolate mouse that she pours into a container	a cowboy takes a football player on the field to settle something	a woman works on a white chocolate mouse that she pours into a container	4
video8882	a woman is teaching how to make a hair clip	a dune buggy flipping over	a woman sings this little light of mine while a painting of people from across the globe is shown	knights figthing scenes with bees flying scenes with windmills	a dune buggy hitting a car	1
video8885	a band performs for a live audience	someone is showing a purse	a man is singing on stage with his band	a man is talking	a man is refraining from talking	3
video8884	a kid is pointing at a computer tower	a guy with dreadlocks screaming into a camera and drinking something	a group of children swim in a creek while people sit on motorcycles and a woman speaks	there is a red light moving in to the street	a guy with dreadlocks talking into a camera and drinking something	4
video8887	a woman is walking down a hallway	people are singing a song in a mall	a woman is dancing in a hallway	people are interview in front of instruments	a black and white striped sea creature has a pointed tail a neon pink disk has several uneven legs and a raised brown disk with purple legs walks over the textured sea floor	2
video8886	a man singing what he and friends did with smoked meat	a motorcycle rider in a video game	the orange fish sit on the rocks in the fish tank near the flowers	a brown van drives past a yellow school bus	a man narrating what he and friends did with smoked meat	4
video8889	there is a man slicing garlic on the table	an animated man introduces his cooking show	a man showing some science tricks	there are many woman with their head covered in cloth sitting down and eating	there are many woman with their head covered in cloth crawling down and eating	3
video8888	it is a video about a guy saying how he wants a normal life and to change	girls dance around in cheerleader uniforms singing a song	it is a video about a guy saying how he wants a normal life and to get back to how he was before	a woman is reading in bed with another woman talking	a lady talks into a megaphone	0
video7036	a man demonstrates how to attach a device to the rear of a car	genkyuen garden excludes japanese pagodas on stilts bridges and still lake	genkyuen garden includes japanese pagodas on stilts bridges and still lake	ted talks video talking about humans uniting their braina documentary on the social interactions of human	phil spoke to her heart	2
video9641	a commercial for a car dealership	a male leads a class while wearing a white shirt	a demonstration of destroying a computer animation of a cat like creature	a demonstration of completing a computer animation of a cat like creature	basketball players are making dunks over music	3
video9642	a man shows his computer desk and lighting arrangement	a man slams another man into the ground during wrestling	women talking a video herself describing about her work	a man explains this computer desk and lighting arrangement	a video game character kills the opponent	3
video7403	two cartoon characters having a fight	a girl is eating food	a dog sneezing repeatedly	a girl is making food	person in white shirt is playing with many snakes	1
video7983	a man talks about a product	a compilation of several men talking about their day surfing being ask questions about the day	a person is singing about a car	reception party with dancing and hip hop	a person is explaining about a car	4
video9054	woman are dancing in a dance class	a lady explains a baby carriage that is for sale in stores	a man driving a car	rock band singing in front of a crowd with video effects	a man washing a car	2
video9056	a horse follows two girls	a base ball game is being played between two teams in a ground	a man sits inside the car and shows its features and then gets off	a man lays inside the car and shows its features and then gets off	some men are relaxing next to a park	2
video9051	a boy is playing guitar and singing	a boy is playing guitar and screaming	women are sampling food while cooking in a kitchen	a man describing how to do something in windows	a black car is parked by some bushes and trees	0
video9050	indiana jones wears a brown fedora while a woman reads a quote about harrison ford s indispensability	people ride on a water vehicle as a boat drives by them	a woman sitting in a white chair is talking about an easy recipe to try	indiana jones wears a brown fedora while a woman explains a quote about harrison ford s indispensability	a commercial for v8 shows kids running with there soccer ball	0
video9053	a man talks about an open air museum	in the video came carts are ridding on tracks	a crab is garnished with ingredients by a man to make a dish	a man is showing some easter eggs and eating them	a man is showing some easter egg and talking about that	4
video9052	a big group of soldiers are looking at the ground with sticks	a big group of soldiers are poking at the ground with sticks	a group of people play a rough game of badminton	this is about her card last and he has to breach his account and he tries to hawk it in a different way	musicians on stage performing	1
video7859	there are some animated  characters   playing with  each other	a woman explains where to look for more information on society and health	men play a heated game of professional volleyball	a woman is cooking	there are some animated  characters   beaten  each other	4
video9632	two men sing into microphones	a little girl is dancing while a young boy tells a fact	someone is showing paper art	a group of friends are racing strange cars in a video game	a little girl is dancing while a young boy sings	1
video9743	a cute woman is dancing in front of her friend	vow the tall beauty with very beautiful slim profile will give good marketing for the product	a doctor talks to the camera about rosacea	two children are watching tv	a cute woman is thinking in front of her friend	4
video7858	a person is staring at a car	a person is discussing a car	very expensive sports cars are displayed	people are getting street food in india	a yellow element with green electrons spinning around a nuculas a peridoic table of elements	1
video9129	man recording length of snake	a contestant is weeping on a stage for a talent show	seven dancing paint cans singing about color	an indian woman with colorful clothes serves food whole a man with a floral shirt admires	a contestant is singing on a stage for a talent show	4
video9128	someone is eating food	a person mixing the chicken along with the spices to make it absorb	a superhero is kissing a villain	a superhero is fighting a villain	a person is making a paper art	3
video9121	a baseball player in a blue uniform is swinging at a pitch while music is playing	a gymnast preforms some stunts	a gymnast teaches kids some stunts	the skit made a parody of the show cops	a man with glasses	1
video9120	a guy stands on a mountain side wearing a green jacket	a man dressed in black is skating on snow and fell down	asian soldiers escort a man in green through trenches	a young red headed woman discusses her pet while she stands in front of a shelf full of very large jars	a man dressed in black is skating on snow and recorded himself	4
video9123	a woman performs gospel music and dances	a white van zips around and drives over rough terrain	instructions are given and shown on how to cook a dish	a woman raps and dances	this video clip is showing an editing software	3
video9122	the video shows old footage of a man and also of a beach	a man is painting a mustang and talking about the details of the car	a man preforms a song on stage	a boy going in a cycle while the front wheel runs alone and he falls off	a man is driving a mustang and talking about the details of the car	4
video9125	a kids craft video showing someone staple something to a heart shaped paper with glue	a kids craft video showing someone stick something to a heart shaped paper with glue	a guy scrolling through phone	a young man is pushing a cart in a street	a girl is cooking something	1
video9124	a woman wishing every man had to be pregnant once	a man and woman standing in a dark room	groups of women and men are dancing	a guy in a pink hat holds a pink voleyball in the air	a man and woman jumping in a dark room	1
video9127	a group of cartoon characters jump around and play a game	a man tries to open a box but a woman stops him	a soccer player blocks a goal	a soccer player scores a goal	woman trying to get into a bathroom	3
video9126	there is a man is riding under the sea waves	a group of people are dancing on the beach	there is a man is dancing under the sea waves	a cartoon man in a top hat is wearing a top hat and speaking japanese	unknown recepie with some sauce and garnished with coriander leaves	0
video8891	a woman runs in a green t shirt on a brick path past tall shrubs on one side and trees with underplantings on the other side	the wrestlers went down	a woman bikes in a green t shirt on a brick path past tall shrubs on one side and trees with underplantings on the other side	someone on a mini bike is using a wooden ramp	a person playing a video game and commentating	0
video7987	a man drives a car and takes a picture of a girl or girlfriend	men react to a movie scene depicting a prison fight	three boys stand in the woods drying their bodies	woman trying on black gloves with retro reflective tape for a documentary of some kind	a man exits a car and takes a picture of a girl or girlfriend	0
video8066	several small pictures of trucks wiggling on the screen in front of a big yellow truck in the background	the man sits in the chair wearing a black shirt and talks	several small pictures of trucks flash on the screen in front of a big yellow truck in the background	horse feeding itself in cabin	squidward is acting unhappy with his job	2
video8238	a pot of crab overflows and the cooked crab is removed and cut open	a music video with people dancing in the backs of trucks	a pot of crab opens and the cooked crab is reomoved and cut open	there is a tshirt man walking playing football	comment about a sports programme	2
video8239	an idle athlete named kevin young is among many runners on the track	person in white shirt is talking about the television	a man throws a paper airplane	a child is screaming on christmas	a running athlete named kevin young is among many runners on the track	4
video8232	a logo for a show is presented while electronic music is played	talking about different solar events that never materialized	wild dog puppies are playing	someone is singing and playing the guitar	talking about different solar events that happened	4
video8233	a person folds a paper airplane	a rooom full of plates and dishes that have fallen to the floor	a man running into a crowd of his teammates after winning a baseball game	a person catches a paper airplane	a lady is reviewing a viral video on the global news channel	0
video8230	a girl is afraid to jump on a swing	a girl is afraid to fall on a swing	camera on a track filming men in a truck	a basketball player diving into a crowd	lady talking about a movie channel	1
video8231	a woman looking excited in a restaurant	a cartoon cop runs around a cartoon city on foot	a group of people sing and dance in a colorful environment	a cartoon cop flies around a cartoon city	different images and clips from various hollywood films are being displayed in an effort to advertise a website called movieclips	3
video8236	a video showing the credits of a video	a man deletes a parameter in a piece of software	a girl is wearing a red bag	a red clock hands are moved to set it to read 9 00	a man creates a parameter in a piece of software	4
video8237	a video featuring the release of black fish movie and their social media coverage	mothr talking about here daughter while she is playing on her own with out listening	Mother talking about her daughter while she is playing on her own without arguing	a tv is showing a picture of a rotating earth with words coming over it	a man and woman standing in front of a giant screen as they discuss a comet	1
video8234	screenshots of couples holding hands	the man showing his care	screenshots of couples hugging each other	a boy talking about a computer	a guy singing with guitar	0
