clip	ending0	ending1	ending2	ending3	ending4	label
video9262	a man stands next to a smiilng bride about to give her away	a man is speaking with subtitles beneath him people are walking behind the seated man	a dog sitting on a couch a cat walking across a carpeted floor while a female voice speaks to them	soldiers are walking and singing with different shots	soldiers are walking and fighting in different shots	4
video9263	person is recording the blue water near the city center	a guy with a checkered shirt is holding a bucket of liquid	a man explains the size of interstellar bodies and distance	person is swimming in the blue water near the city center	wrestlers are at a match	0
video9261	a girl wearing a pink space suit floats around in a cartoon	a game of rugby is played alongwith music	a woman is sewing	a man is interviewed about theatre	a girl wearing a pink space suit watches a cartoon	0
video9266	a pirate is standing on a boat	a man gives instruction on using a program	a game is being played	a pirate is jumping from a boat	two men are wrestling on a ring	0
video9267	a girl is preparing food	a scene from a movie a man is pointing a gun at a man in a hospital bed	a girl is eating food	a person is cooking	stalingard soldiers talking and marching	0
video9264	a woman speaks to a camera for a video segment	a janitor cleaning the floor with a mop in a cafeteria and then eating an apple	a kid singing on the stage	kids playing in sand	a kid running to the stage	4
video9265	a video of a person organizing feminine make up and utilities	the wrestling match was very entertaining	a person shows where to work on ubuntu	a person shows where to download ubuntu	an asian woman with a pretty face is using a brush to apply makeup to her eyelids	3
video7884	a man is stirring food in a pot with a wooden spoon	cats play with each other	the public program crying in the ground at the same time one murder in the hall	the public program run the ground at the same time one murder in the hall	a car is driving fast	3
video9269	person is presenting his project about the nano technology	a man browses through shirts and shoes while shopping	a man browses through shirts and shoes while commentating	phil talks with a man and woman	people are watching a movie	1
video7624	an indian man lays down on the bed with his girl	a black sports car with its windshield wipers in motion is followed by sedans around a paved course with rubber tires as obstacles	people dancing to rock and roll music	a choreographer discusses his dance composition	a choreographer promotes his dance composition	3
video7625	the basket ball player is playing in very well in the cort	unboxing new lego block toys	a strange creature is created out of the water as patrick laughs and spongebob screams	a group of teenagers dancing in the sand	a group of teenagers run in the sand	3
video7626	person playing a video game and talking about it	a woman applies makeup around her eyes forehead and cheeks	a professor from the university of manchester is telling about what he does	a group of girls dancing	a group of girls laughing	4
video9460	a man talks about his film preferences while showing many thumbnails	this is a music video	a fox is in the snow and is jumping in the snow	a fox is in the snow and is chewing the snow	a kid video of a animated character in situations	2
video9461	a clip of the incredible hulk and another character fighting	a movie scene persons sitting and drinking speaking displaying on screen	a boy laughing loudly	a boy crying loudly	a gopher finds that chickens are eating his corn	2
video9462	a man giving a review of the little mermaid	a group of kids are singing	a person is playing a third person video game	a group of kids are dancing	a young man in a taupe jacket is giving a speech in front of his computer	3
video9463	someone is playing a game	a band performing a song in front of an audience	a girl is singing on the voice	a man in blue shirt is falling down on seeing something	a man in blue shirt is falling down on eating something	3
video8992	they are talking together	a man is explaining finding patterns commonly found in biology while sitting in front of an audience on stage	a clip from captain america with chris evans talking about the struggle of being the captain	football players make some incredible plays on the field while music plays	a man is explaining finding patterns commonly found in biology while standing in front of an audience on stage	4
video8991	people in costumes are on the streets in a city	a man is singing	a woman with brown hair is talking about something	a man is jumping	how to make a galaxy fighter	3
video8990	a cell with two long tales next to a large gray fish	a presentation of how to get a girlfriend showing men what to do	the filming of a movie scene	a clip showing an asian school girl and her mother fighting on the street	a clip showing an asian school girl and her mother walking down the street	4
video9468	a young women clicking a noise maker and training her cat to take a treat based on the noise she makes	a cartoon of men playing cards	the man was driving a car	someone is folding origami	a cartoon of men picking out cards	1
video7629	a man is trying to kick a ball and falling down	in a kitchen a man prepares steak on a pan	a man is trying to kick a ball and running	a girl kissing a star	an animated girl is looking out a window	0
video8995	there is a hot and sexy lady standing on the sofa	in a kitchen a person adds butter to a pan containing fried potatoes he then decreases the flame	there is a hot and sexy lady lying in the sofa	a women is doing something with netted cloth	a young boy is playing an electric guitar	2
video8994	an animation about a man and woman is shown	a man slices up potatoes and pours garlic puree into the cream	the men sits near the big window and talk to one another as they eat	a driver and a passenger speed through a windy road while revving the engine	the men sits near the big window and talk to one another as they drive	2
video7631	the lady sit on the ground near the big house	three people dance together followed by large pairs behind them	thor trying to pull hammer	three people walk together followed by large pairs behind them	group of people is busy in stage before an act	3
video8744	a young man in a black shirt discussing graphics cards for computers	a man is playing with a gun in front of a woman	a young man in a black shirt points to graphics cards for computers	small girl singing on a variety show	clips of impressive soccer plays	0
video7639	a male video game character hides behind a rock and argues other characters	a person is working on a computer	talk show hosts is pouring a drink	people talking with a microphone giving opinions	a male video game character hides behind a rock and shoots other characters	4
video9073	lady walking through a cave	with a white shirt by adidas prepares the race	with a white shirt by adidas wins the race	basketball players are fighting	a narrator describes operation of the gmc sierra while he drives down the road	2
video9071	a model walks down a runway	a commercial airliner is crashing inside the plane drama unfolds	a man and a woman have a date while his emotions control him	the cartoon movie of three members	a model slides down a runway	0
video9070	a man and a bowl pouring mixing dish inside kitchen to prepare to serve to eat displaying on screen	a man removes pipes from a vehicle	a man connecting pipes from a vehicle	people are playing baseball	person choosing weapons to use in video game	2
video9077	the brown animal is looking straight in the camera	a singer performs on stage	a complex temple with many shrines near to a village	a red mazda standing on the street	a red mazda driving down the street	4
video9076	a man is building a remote-controlled robot	a video is shown animating a minecraft character	woman talks about the soul and body of a dead man	a man leaning on a car	a man is walking with a remote-controlled robot	0
video9075	a woman interviewing a man who gives a description of what his company business is	a band on stage with a man commentating	an old movie review about lovable disney classics	a woman in colorful dress stands in front of wood door and waves hand over face	a band on stage with a man rap	1
video9074	person is presenting the film that he watched	video of donkeys walking around	a pirate lifts the hull of a ship in a video game	man and woman pausing for photo	a pirate runs around the hull of a ship in a video game	4
video7451	a graph is being shown	a person is playing guitar	all persons are skating in a snow mountain	a woman is talking about some food in a kitchen	all persons are walking on a snow mountain	4
video8561	a man is wearing wings and acting very silly as he pretends to do cpr	a man and a talk show host are preparing food	a man and a talk show host are tasting food	a cook demonstrates how to soften and brown potatoes	a person is looking under the car	1
video9109	the woman in the blue shirt sings moocs on a television show	a man driving a car	tess s kitchen corner program showing a fresh chicken pieces in a bowl	the woman in the blue shirt discusses moocs on a television show	a kid celebrates a present opening	3
video9108	there are teams of men playing rugby on a tv network	a female giving a demonstration on a cooking project	guy doing his talk show	a female giving a demonstration on a crafting project	a woman in hot dressing is standing on the floor	3
video9107	a crowd of people are smoking marijuana	a person is explaining features of a car while driving	man talking while sitting on a bench with snow on the ground and a snowy mountain in the background	a woman is cooking	a woman is singing	3
video9106	a man weaving metal beads	the father and baby infatnts are sleep on the bed and both are enjoyed	a man holding metal beads	women sitting in the middle of two guys staring them	a man getting ready to drive on a street with a nice car	2
video9105	man assembling a model	a lady  is make up her face by spraying	a boy on the voice kids	a small baby dressed in white is sports with false moustache beard and thick eye lashes makes him look like a baby magician	a lady  is make up her face by brush	4
video9103	a man is talking about branches of the government	the girl in the pink tshirt sits the green grass	a video from the voice of people celebrating their win	a scene from a boxing match	the girl in the pink tshirt run in the green grass	4
video9101	a bunch of girls are laughing	a bunch of girls are singing	people dance in a music video	a cook pours some food from a pot onto a countertop	a man is riding a surfboard through a very large wave and he bails out	1
video9100	a man is riding on an animal	a man in a white shirt and pants is giving an interview in a medical building	a girl plays a game	a man is holding an animal	the person talks and drives the gray truck down the street really fast	0
video8368	there is someone working so hard on track	a man is coloring a drawing of squidward	a lady is reciting the paragraph on the screen regarding the movie indiana jones and the actors	there is someone sprinting so hard on track	the box figure dancing beautifully	0
video8980	there is small tiger and group of tigers are standing	a promo for a tv show or movie with spoken words of what women are thinking	there is small tiger and group of tigers are sitting	a man speaks to a camera for a video segment	divers are being shown above and below water	2
video7225	a man challenges a muscular woman to a wrestling matches and loses	meat pieces are baked to 3650 degree f and onion pieces are added to it	a guy is filming women s halloween costumes	spongebob and patrick are speaking	a guy is criticizing women s halloween costumes	4
video9182	a man is tracking a soccer ball down a soccer field	yellow text about flight information floats up the screen while someone talks wounded soldiers	a man is kicking a soccer ball down a soccer field	a rock band sings and a drummer plays the drums	people struggling to walk through snow covered field	2
video7683	a man is running down a desert road	a man is driving on a desert road	a man on the news speaking about an alert	stephen colbet talks about throwing molotov cocktails	a woman holds onto a action figure in a room	1
video8996	a man is doing a newscast on a church shooting	a man is doing a newscast on a church burn	a woman is rubbing her arm	a man is talking and showing about the product he is trying to sale	it hits the wall and scatters and it look beautiful and some photons	0
video9180	group of people are dancing in the night club	group of people are relaxing in the night club	a man in a stripped red shirt driving a car and discussing his impression of it	a man is teaching how to fix car brakes	a football player and then a kid riding a roller coaster	1
video7874	tennis match highlights a player in white tshirt loses the set	a guy wiith a mustache singing	a music video of people dancing and a crowd	tennis match highlights a player in white tshirt wins the set	screenshots of couples holding hands	3
video8180	someone films the interior of a small animal cage	a woman displays her massive variety of health and energy foods	someone discusses the interior of a small animal cage	a young woman appears to adjustign her camera on her lap top with flowers in her hair	a person is discussing a car	2
video8181	a woman is recording the anatomy of a skeleton with a pen	a woman sings as waves crash on the ocean shore	someone is frying churros	someone is playing a video game	a woman is pointing to the anatomy of a skeleton with a pen	4
video8184	a group of people are marching the streets	a video game with a man with a gun	a group of people are singing in the streets	a man is frying fish in outside	a talking bird is talking to other animals in a comedy of cartoons	2
video8185	a girl is wearing a cute dress	a man is cooking food on the grill outside	man in a grey hat and hoodie holding a potato	man in a grey hat and hoodie cuts up a potato	a cartoon clip showing a wolf	2
video8186	someone plays a dancing video game and streams it	a guy shows how to edit a photo	there is a white dog is walking with someone	he will list all the components in the description	there is a white dog is watching someone	4
video8187	a cheetah is running around a desk	girls are running while a man is hitting something with a stick	a professional soccer game that is set to music	a trailer for the upcoming movie black fish which will be in theatres july 26	a cheetah is sitting on a desk	4
video8188	a man is recording his boat ride here	a man is enjoying his boat ride here	a person is lighting a candle he showing the lighter gun and lighting the candle without touch the candle	a woman is putting on makeup	in a school volleyball game a young male player serves and scores a point while fans cheer	1
video8981	french man is adjusting a phone situated on a selfie stick	a girl is dancing	woman is driving her red car near the grey jeep	a girl is singing	a man is using windows	1
video7455	two men wrestling indoors in a match	girl talking about how to make a certain stew	children are talking on camera to a man off camera	a woman is preparing a food item in kitchen room with black dress	a woman is selling a food item in kitchen room with black dress	3
video8210	multiple game of thrones clips	a short balding man stands between large flags	a short balding man runs with large flags	a bus is going on the road and it is fallen in the big dig	a cartoon girl is in the rain	1
video8211	a cartoon fox is moving	there is someone making arts and crafts	a cartoon fox is standing	highlights of a basketball game are given	kids dancing in a silly fashion	0
video8212	a women is saying something about the book and she is saying about the book she likes most	a person assembling a ribbon	dr phil talks to two people on his show	a person cuts a ribbon	a person is playing the fiddle	1
video8213	the features of a car are shown	a man is performing outside	a man is singing	two men sit at a console while others gather at a table	women are celebrating a soccer victory	1
video8214	a girl and a plate and a spoon mixing dish inside kitchen to prepare to serve to eat displaying on screen	a mom and kid sit on the field with a soccer ball	a crossing guard wearing orange helping several children off a yellow school bus	a mom and kid standing on the field with a soccer ball	the crowd is cheering on the voice	1
video8215	peoples are enjoying festival	news about colbert and his future show	a cartoon about the hokey pokey song and wake up	a group of llamas is being filmed outside	a cartoon about the hokey pokey song and dance	4
video8216	music plays over garry s mod gameplay	a person is cooking something	a person is arguing something	in the water fish seem to be eating from a plant	a man shakes hands with another man outside a bulding	2
video8217	an advertisement about the disney pictures and music on the background is shown	a person sprayed fire extinguisher on a vehicle	a man is singing	man in white shirt slicing meat on a yellow and white cutting board	a man is standing	2
video8218	someone is comparing the dark and bright side of the moon	a man teaches a woman how to use a gun	a man is doing stepping tricks with his horse outside for people	a giant man is eating people while small people are at his feat	someone is recording the dark and bright side of the moon	4
video8219	a woman is demonstrating how to operate a tanning machine	a guy gets elbowed in the face in wrestling	brown pebbles are on the surface of a flat and curved shore and partially covered mountain peaks are in a cluster over flatter land	a guy gets elbowed in the face in dancing	a camera rotates over a hovercopter	1
video7510	a man hears something and stands up to walk away	gruop of girls and boys are dancing	a man hears something and stands up to run away	women applying makeup to her eyelids with a small brush	a young girl using a toy looking bow and arrow to shoot at a target	0
video7047	a person taking food item out from panl and put in the serving pot than put some onion in to pan	there are two ladies visiting a  street  shopping	there are two ladies running down a  street  shopping	the children were interviewed separately	a girl wearing a dress stands to the side of the screen while lyrics to a song playing in the background appear on the other side	1
video9751	an insect is eating	several people are cooking on a tv show	a group of girls are performing on stage	an insect is moving	person is smoking a cigarette while others sing a song	3
video9189	a group of four females are walking towards the music	a group of four females are dancing to the music	two man and a woman are talking about something and laughing	copper wire placed on a pen sized battery rotating in clock wise direction	horses are being raced	1
video9188	a man puts something in a trunk and then opens the trunk	a man puts something in a trunk and then closes the trunk	a man speaking to the people	a woman speaks to a camera for a video segment	in the kitchen someone making a dish on the table	1
video7517	a man kissing a lady both are lying on thebed	cars are sitting  on a road that is grey in color	a man giving some money to a boy and a grandma finding some bananas	cars are standing  on a road that is grey in color	a man and there is three singers on stage	1
video9921	a women telling news	person is decorating the beautiful meal on the table	a group of guys and one woman talking about something	two men seem to be alone in this building together	person is filming the beautiful meal on the table	1
video9920	many athletics showing their skills in long jumps running and relay racing	a group of people prepare food and serve it	someone is making dough of some kind	sled dogs bark at a polar bear that is stalking them downwind on a landscape of snow and ice	a group of people prepare food and dance around it	1
video9923	the mother is waiting their children is coming on the school bust at the bust stop	a boy is interviewed while on a bicycle	a person speaking and laughing in the room and outside	a young women blogs in her room	a person speaking and walking on the room and outside	4
video9922	a horse race is being shown outside	positive messages are being displayed with different scenes of development	a person whisks food in a bowl	delicious fried rice in a bowl with some curry on the top	a person mixes food in a bowl	4
video9925	a lady dancing to shake it off as a young man stands awkwardly	a group of people stand together and smile in a picture	sports clips and highlights	a woman brings a guest onto the show to discuss a recent article	a lady dancing to shake it off as a young man sits awkwardly	0
video9924	a red sport car is driving very fast	different delicious hamburgers and cheeseburgers are displayed and look tasty	the grapes are on the vine	a long haired man drives his car	a long haired man stands by his car	3
video9927	a man is advertising the features of a stroller	three men in suits speaking at a presentation	kids stand on the field laughing and listening to music	a black color car is parked by the side of road in a green grass field	a man is discussing the features of a stroller	4
video7889	baby tigers are laying on the branch and grass and a mature angry tiger is snarling	a man showing how to freeze a recipe	a person is playing ping pong against another player	there is scenery of a village with mountains in the background and a train passing by	a man showing how to prepare a recipe	4
video9929	a man does commentary to his car drive	a man does commentary to his car crashing	a man is handling a crocodile	an ominous herd of llamas walking down a grassy hill looking to start trouble	there is a stylish car on the road with damaged body	0
video9928	a man is moving peanut butter from a can to a cup with brown liquid using a spoon	a series of videos of people dancing	a young boy is playing basketball	a person singing a song	a series of videos of people laughing	4
video8432	one of victoria secret s angels is out on the town with a teddy bear and a group of dancing and singing minstels	a man and woman lie facing each other in a bed smiling	a man and woman lie facing each other in a bed wrestling	a woman is speaking about how to get more information about cpr	a man walking in an apartment	1
video7515	a woman talks about cosmetic products	a black man talks to the camera while standing on a bicycle	commercial for new bra straps	the house needed replacement windows	a black man talks to the camera while sitting on a bicycle	4
video8434	a man holds a camera and sings	a man holds a camera and walks	jawsome game is started and different shark types are previewed	a man is talking in the rain	minnie mouse is talking to a disney cow character who is singing	1
video8429	a guy drives a vehicle and talks about the vehicle s rear subframe assembly	a person is working under an automobile	a guy crawls under a vehicle and talks about the vehicle s rear subframe assembly	a cartoon character kicks a beehive	a woman with a horse is singing	2
video8436	a young boy sits with a monkey while some men walk down a path	a fox jumping in the snow	a man plays with a toy named everest	a man discusses a toy named everest	man with white hat is preparing a soup in a kitchen	3
video8437	a person plays with toys	gameplay footage of someone playing a game	the teacher taught about factoring polynomials	a group is singing and walking around	a group is singing and dancing	4
video7691	a young girl is singing	a woman in an orange robe is sitting out side	bunch of cartoon characters talking to each other on screen	a person is showing a stroller	a young girl is running	4
video9756	a man and woman sit at a table eating and take a selfie	a man shooting a viedo in a vehicle	a woman rinses chitlins in a kitchen sink	a man and woman sit at a table sing and take a selfie	a duet is performed by contestent in a music competition	0
video8428	black haired woman is standing and waiting for the make up	a man is mixing honey with soy sauce	nice interview of two celebrities	black haired woman is sitting and waiting for the make up	a woman explaining the features of a stroller	3
video7690	a person is recording their computer screen	a person is watching their computer screen	a girl is singing	two newscaster talking about some paper	an episode of pokemon is being played	0
video7045	two persons playing table tennis in this video	lady with shiny hair and brown color hair talks she wear blue coat	someone is mixing flour and water in a bowl	a man is shooting a basketball ground	a man is walking around a basketball ground	3
video7899	two ladies sitting at a desk and looking at a computer monitor	two ladies standing at a desk and looking at a computer monitor	a person is chopping red onions	men and women dance and sing under pulsing lights	some men having fun and talking about the sea	0
video9628	a doctor holds a baby	a girl in black dress in the car with seat belt then shows bye while driving	a man staring that switches to two men smoking on a bed	a doctor delivers a baby	a girl and boy hugging and petting a dog in a yard	3
video7161	a band performs on stage for a crowd	movie scene from a tamil movie two mens are talking	a person is cutting paper	a man is flooring	a person is folding paper	4
video9911	a man attaches a remote plane to a battery	people are performing music	a hallway with a blue ball at the end of it and also a golden and green ball	a commercial with a grown man and kissing children	a commercial with a grown man and smiling children	4
video7692	media persons with camera are waiting and two personalities come out the building to exit the car	a woman discusses how to make some food dish	interview for starcraft two wings of liberty taking about the excitement since the start of production three years ago	two people are walking and talking	media persons with camera are waiting and two personalities come out the building to enter the car	4
video7167	group of men argue in the street	a chief commander asking something to soldier	a man is giving a speech at a ted talk	group of men walking down the street	a boy is sailing on the boat and drinking a juice	0
video7694	an indian celebrity giving tips on how to surf	man in black suit is singing to a guitar	some people are watching down from the top roof	this is a video about eharmony	an indian celebrity giving tips on how to cook	4
video9757	a girl is singing with her mother	man talking about grand theft auto and driving a car	a girl is laying by her mother	animated scene from scooby doo	man test driving new car	2
video9854	groups of people posing for a camera getting their picture taken	music and advertisement about a website	young lady screams while giving birth as older lady comforts her	a boy sees a doctor	a boy travels to a doctor	4
video9857	a person is training the player by using his stopwatch	two people on the outside xbox begin to play a game called fiskal clif which can be found in the indie games section of xbox	there is a orange shirt man is fighting with someone	there is a orange shirt man is smiling to someone	two news anchors talking to a reporter in carlsbad about a burst of light in the sky	2
video9856	a woman is showing the foundation and applies it to her face with a brush	a cartoon girl is dancing with a star	a cartoon girl is singing with a star	a man and woman is kissing in a bed	someone is wearing black puma sneakers and showing them off	2
video8509	a group of soccer players fighting on a field	late show segway	a woman is cooking	a group of soccer players run across a field	a man demonstrating how to use a computer program	0
video9853	there is a man is  jumping through the window in a big building	a man videotaping in space	there is a man is   watching from the window in a big building	a young man is singing in front of a group of people	someone is cooking food	0
video7881	a demonically dressed person walks through a cave and carresses the face of a young laughing woman	a baseball team prepares for an intense game changing play	a demonically dressed person walks through a cave and carresses the face of a young crying woman	in the beauty lady is walk the black gown like as heaven	a vintage video of a young girl grabbing an item off of a grocery store shelf	2
video8504	there is a girl doing makeup  herself by standing on a sofa	there is a girl doing makeup  herself by sitting a sofa	a goat walks in slow motion	a black lamborghini is driving on a street out side	man speaking about exercise	1
video8505	a man is writing	there are two people is walking in front of a shop	there are two people is standing in front of a shop	a girl putting a sweater on the dog	a female chef named tess is preparing to cook a meal with chicken	1
video7696	a few people are singing	a few people are dancing	there is a woman in black is introducing a product	a dead body is under a white sheet as an embalmer prepares it for a funeral	a woman is applying make up to her face	1
video8500	fireworks are blasting in the sky	this is a video from a movie scene	girls performing in a music video	a man is standing	a man is clapping	4
video8502	a man is singing	a group of people dancing	a woman with black hair and choker wearing a white t shirt is giving her opinion of the walking dead show	there is a beautiful place with a green mountain and rivers	a man is wrestling	4
video8503	a guy is paining in one cartoon character	contestants sing on a talent show	two asian girls stand in the middle of the road one girl is wearing a white dress and the other is wearing a black shirt	a person building a paper airplane	a person throws a paper airplane	3
video7981	a man drawing and writing on a whiteboard	a person is walking down the street and talking	a man drives a vehicle down a road	a man speeds a vehicle down a road	a woman looking excited in a restaurant	2
video7980	man driving and talking about the 64 cadillac	a person plays with an animal	a man giving a man a haircut	a person pets an animal	a woman with curly hair holds up a brightly colored outfit	3
video8726	three persons on a football field try their skills at shooting a long shot goal on the foot ball ground	a boy is walking on a ice mountain	a boy is jumping into a ice mountain	a parody news cast is giving snippet reports on the legalization of marijuana and how it relates to an increase in ice cream stock prices	a man and another man speak to each other in a room	1
video7982	a guy stands in a room to a window then goes outside	a song is playing while scenes of snow white appear	various types of food in bowls are being shown	obama talked about south korea vs kenya economy	a guy walks across a room to a window then goes outside	4
video7985	the video shows ratings and reviews for a movie	a person oils a pan and cooks chicken in it	a woman is standing on the red carpet	someone is cooking something and talking about that	a woman is walking on the red carpet	2
video7984	a woman is holding a backpack	three young women singing	a woman is unzip a backpack	a chef at his cooking table explains how to remove shells and de vein prawns and then starts to prepare a batter	a man stands on the ledge of high building and jumps	0
video8722	a hand holds up a phone	basketball players on two teams run down the court and shoot a basketball into a hoop	a person is playing a video game	a cartoon involving animals	a hand touching a phone	4
video7986	a guy is driving an acura	wrestling match with commentary	the ohio water emergency is discussed	a weird looking thing is in a small box	a guy is reviewing an acura	0
video7989	in the gymanasium the men is continouing their execise	person is adding some oil into the red meat	a pair of women talk to each other outside of a horse stall and one woman tries to convince the other she can talk to horses	a boy is eating	a boy is singing	3
video7327	there is a black dressing man talking with friends	the band plays on stage	there is a man standing near a pool with a fish	there is a man swimming in a pool with a fish	a mans voice describing his opinion of a game is dubbed over a screenshot of a computer game before a picture comes up of a different game	3
video7326	a college tries to persuade students why they should choose to enroll or stay with this institution	an design is crafted with rubber bands	a college tries to persuade students why they should choose to enroll or change at this institution	a band is performing in front of a live audience	a reporter recounting recent celebrity news	0
video8728	a man is reviewing a website	a silver car is parked on a road	people playing the drums	a man is advertising a website	many puppies are awoken by whistling	0
video8729	a person is preparing food to sell	a man places bacon on hamburgers	group of people running so fast because of the war behind them	a person is preparing food to cook	a man shoots a clothing commercial	3
video7323	motorcycles speeding down a highway  the motorcycle in the middle has a person sitting in the back in a red shirt	person doing a science project	a man playing video games	motorcycles speeding down a highway  the motorcycle in the middle has a person standing on the back in a red shirt	people are talking about a baby walker	3
video7322	a person turns the green lever of a white kitchen tool over a ridged metal can on a wooden counter	there are two people is walking in front of a shop	a marker is being used to draw boxes with information about data scientists	sportscaster speaking on atlanta falcons losing a game	sportscaster speaking on atlanta falcons winning a game	4
video7886	there is a man slicing potato on the table	a woman demonstrates how to use a pan as a man provides a description	there is a man pouring potato on the table	men talk to each other in an indian program	the man adds some indian masala into the frying pan	0
video7887	a man in cooling glass talking from the studio	in the kitchen the chef is interviewed by a lady and the ingredients are kept on the table	there is a man asking questions to other man and he is laughing with camera	there is a man asking questions to other man and he is posing camera	a guy is playing minecraft	3
video7239	a talk show host discussing different animals	a person is unwrapping cars merchandise	a cartoon doing dance moves	someone is scrolling around an old news paper	someone is folding an old news paper	3
video7189	a man is operating a robot	a band performs live	a clip of a man and woman looking solemn	a man is explaining the features of mobile phones	a man is holding a robot	0
video7188	a person is winding ribbon around a stick and adding balls	a man is teaching how to steam salad	a band composed of older gentlemen are playing blue grass music on a small stage and people are dancing along to the music swing style	a coach swears at players	a man is teaching how to prepare salad	4
video9569	a man in black shirt is kissing with a woman	a woman is shown giving a massage to another woman	a group of alpacas watinng grass and hay together	a man in black shirt is sitting with a woman	a cartoon bull on fire with other characters talking	0
video7181	girl singing on a talent show	thor is trying to pull his hammer from a stump	a man is holding his hands in the air	man dressed in black juggling on a snowy mountain	a man is running with his hands in the air	2
video7183	a group of people are swimming in aerobics	a girl kisses a floating star	an area of outer space littered with brand name logos narrated by morgan freeman	a group of people are practicing aerobics	two people in two different cars having a discussion over a phil collins song	3
video7182	a man is performing on stage with some other actors	two players dressed in green and red are playing table tennis ans spectators are sitting around	two players dressed in green and red are playing table tennis ans spectators are standing	teens perform a musical in a parking lot	a man is getting arrested	1
video7185	a man wearing black color dressed is talking	3d animation characters singing and dancing	3d animation characters singing and falling down	alpacas are walking about and eating in their living area	two men are having a conversation	1
video7184	the crowd applauds the jockeys and their horses after losing the race	cars race around a track in a game	people working on cars	the crowd applauds the jockeys and their horses after winning the race	the lady adds some chilli sauce into the pan with mixed vegetable and stirs it well	3
video7187	2 men in a room with one man leaving a telephone booth	a ship and water moving swiftly moving slowly explaining	a video showing highlights of wrestling with kids	2 men in a room with one man entering a telephone booth	a man in a red ball cap holds and plays a guitar while singing into a microphone	0
video7186	a man hugs another man in outer space	a man in a black hat is demonstrating uses of a potato	a man shoots another man in outer space	pictures of couple together	someone singing on stage	0
video7439	a women with checks shirt sharing her views in front of the camera	a man is playing a violin	people playing martial arts	video shoot inside a taxi and a bon fire in the dark	a man is singing with a violin	1
video9678	some food is boiling in a pan	a person is cooking	a woman in a red apron mixes ingredients in a bowl in a kitchen	a video game character is in an environment surrounded surrounded by spongebob squarepants	a person is driving	1
video9671	a person is acting	a man is lighting a candle	an explorer underwater capturing the habitats and lifeforms under water it is so fascinating that there are lots of varieties of fishes and other organisms	a man is decorating with a candle	a man in black suit then animated figures standing and talking to each other	1
video7430	donald trump and senator ted cruz at a political debate against one another	a man is pointing at multiple sections at a picture on the wall	a young man dressed as a cop pretends to arrest a guy	a man is throwing multiple sections at a picture on the wall	a video of a rap song with lyrics on the screen	1
video9673	the person is making a mini pie	a person arranges some fried potatoes on a plate	a lady talking of something about the women sanitation	a person pokes at some fried potatoes on a plate	a woman making a paint illusion	3
video9672	gigantic fireworks display in the city	a person is using playdoh	a cat is cuddling another cat	opening sequence of a ted talk with words on the screen	a cat is playing with another cat	2
video7435	men talking and laughing at the camera	men talking and promoting to the camera	a man is checking the metal pieces in machine	scene from a tv show	a woman is showing a skeleton diagram	1
video7434	a man driving down the street	a person is drawing	they danced to happiness	a man cooking on the street	beef pot roast with carrots and sauce	3
video7437	a child is shown jumping off a playground	a man with suit sitting on the chair talking in front of the camera	a weather woman is talking about going for a run and then leaves then the anchorman yells	a cartoon crane is digging	a cartoon crane is standing	3
video9676	a blue and a white soccer team have a close match	a boy walks in a red piece of clothing and freaks out	a boy picks up a red piece of clothing and freaks out	a race car is driving down a track	poster panning down for movie chef starting jon favreau	2
video7630	guy moving inside a car adjusting a seat	bowl of soup being drawn from with a spoon	a cartoon character is holding up a badge	guy standing by a car adjusting a seat	people stand in a glass overhang atop a skyscraper	0
video9583	a group of people talking while sitting	a man paddles a kayak	a group of people talking while driving	someone cuts big crab in to pieces and cooks it	there is a hot woman is dancing on the floor	0
video9582	someone is showing video graphic	a person in a food store with a baby	there are huge buildings  standing  in rush city	there are huge buildings   shooting  in rush city	two men are making a video	2
video8858	a man talking about car	these girls are saying what to eat	their is a race going on and there are commentaries being narrated	a grand mother feeding her young grand daughter	these girls are saying what to buy	1
video8859	a man fighting an undead creature	a basketball player steals the ball	the food store appears on screen followed by production credits	two wwe wrestlers go at it in the ring	a basketball player dunks the ball	4
video9587	man in a suit pulling out a gun and aiming it at another man standing on a hospital bed who in turn	guy and woman on stage	people interact in a commercial	man in a suit pulling out a gun and aiming it at another man sitting in a hospital bed who in turn	a man is talking and more peoples are in the round	3
video9585	a person with blue dress and black hat sitting in the chair and speaks	a woman stirs some food for a recipe	a woman prepares some food for a recipe	a person is explaining something	many people are walking on the road infront of the historical building of the china	2
video8852	a man cutting paper	a man folding paper	a dinosaur skeleton is shown	entertainment television covers actor robert downey jr	a man and a woman are giving a cooking demonstration	1
video8850	mount fuji visitors center parking lot with visitors taking photos and pictures	a man is moving his hands	a man is raising his hands	someone is watching sports	a man talking about throwing a bottle lit on fire	2
video9588	a few pictures of bad injures	a car being presented	a model in red struts confidently down a runway as the next model is called up to walk	a young girl is at an amusement park going into the fun factory	a few pictures of bad smells	0
video8856	there is a women meditating another one walks up and they begin to talk	a news report about hilary clinton	a guy misses a shot in basketball	a guy hits a shot in basketball	a man describes a game download and the amount the download costs	2
video8857	a man is waving his guitar for the camera	a man is playing his guitar for the camera	man spending time with a bear	cartoon worms are moving around	boys and girls are dancing in front of a fountain	1
